Corrected,Corrected,Corrected,Corrected,Corrected,Corrected
215826.31059786369,142277.45624077332,316493.09325263218,0,0,0
562841.22795614984,438121.82268836949,96694.166470115786,0,0,0
12595.065102753137,212306.87522145369,424291.91317631316,0,0,0
201380.46567984263,470664.98560774187,391201.55668484798,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
197077588.39773175,210934787.79167125,195374922.31420574,1096405945.5352235,1253116219.1714087,1107760942.5371959
3396651.256298752,1133651.3814854915,2754766.6284178621,14165685.928452807,0.0,0.0
8802668.682872111,10705550.94296455,8330566.4000204699,68153107.547685102,81430406.688163072,69309609.791311324
118929218.4670749,117259564.5825391,112487300.70745891,1582044143.6837161,2033954824.8562496,1863306677.0337121
29570.070141580563,1344799.8012299924,2082573.4538920519,11726023.093559496,7982468.7361865863,4976926.4670963874
17948720.513385888,16830473.974162709,14910503.052709876,48065340.49699907,47975786.815484159,45706882.034097701
0.0,459067.44622282981,453805.33159292932,1492115.7779604346,3629460.4033270823,792477.42269236839
1301030.7553162992,1430617.3628359542,1344470.3895478277,14875867.806518491,8711071.0800689869,9155643.2540733293
0.0,0.0,0.0,0.0,0.0,0.0
1400148.5549354609,1513198.2982502466,1385205.2792699235,3568526.8098619496,2151101.8613435538,2635319.8549194001
1153993.1121188845,1745262.5717604714,1254998.0318041497,386339.67623803474,255662.82227500572,0.0
4660657.7024104968,4735988.3622536901,4011713.8215570739,581064.84303394146,0,0.0
3696231.6039317399,4295334.3095899327,3540027.3389605628,0.0,0,0.0
11052119.625592204,11596945.657356637,11337994.905052746,289420.39432088903,0,98430.805435133036
5178640.2969372291,5553693.083341199,4686546.1255466864,0,0,0.0
19605523.873210948,19764225.169341359,18928549.327904135,0,0,0
5907547.6607633652,6208839.4471133891,6369823.0605492592,0,0,0
20875112.0313504,21635605.119015738,21095448.476066042,0,0,72995.983636361008
3019532.4810195626,3687965.2234790721,3248953.487980539,200745.90652277126,0,7341.0706240864974
13291517.398751352,13048427.074708721,13046206.247719927,0,0,0
721989.56542572111,1077388.4151321312,1319284.0141470202,0,0,0
3447502.3394083581,3503988.3724262873,3462404.7026096168,0,0,0
868127.567194951,1157708.5578851774,864076.97527985089,0,0,0
2688224.8001559498,2831738.9998072209,2805671.8220739164,0,0,0
1525381.8729339654,2455780.1913643107,2203453.441189589,0,0,0
4916611.8470938662,5700884.0381122027,4948860.6474291757,0,0,0
3170848.1402440434,3850826.8245608024,3759028.431341927,0,0,0
1132421.6686060424,3945784.4254116113,2658026.8123350726,0,0,0
56923.473781166242,0.0,384126.74688514572,0,0,0
9886670.3032905739,9010996.1010502111,7876123.6922319084,0,0,0
3445219.7938073264,3991765.6055791574,2937852.4729740266,0,0,0
7940.3440711144422,23415.161934925865,471253.72921624902,0,0,0
622922.10212837136,688910.52044461865,885819.42836102284,0,0,0
1630743.7616619905,4877799.1538179228,3237430.230247688,0,0,0
1125236.318556621,845699.70981349738,0.0,0,0,0
2233894.2433155826,1997621.039073091,1306292.434403925,0,0,0
74675.317982549052,35075.976284227523,95328.478446376204,0,0,0
373773.70663374214,167301.98907418665,314132.94224625232,0,0,0
370637.51707493456,595915.42246389843,409996.83174562448,0,0,0
689668.70617076324,446730.12017271941,629356.54484627885,0,0,0
487703.76153742982,705385.04645397619,160402.12654040041,0,0,0
955476.47738826612,1155431.0295912956,888656.74363356305,0,0,0
440850.54183662886,480227.73414083832,661396.40977004927,0,0,0
961099.43351948843,1316582.4338955742,1206679.8995247744,0,0,0
561834.64739724016,912207.98436522635,836838.38572718564,0,0,0
683669.38442402671,1156139.9198940408,813009.09805734095,0,0,0
215826.31059786369,142277.45624077332,316493.09325263218,0,0,0
562841.22795614984,438121.82268836949,96694.166470115786,0,0,0
12595.065102753137,212306.87522145369,424291.91317631316,0,0,0
201380.46567984263,470664.98560774187,391201.55668484798,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
197077588.39773175,210934787.79167125,195374922.31420574,1096405945.5352235,1253116219.1714087,1107760942.5371959
3396651.256298752,1133651.3814854915,2754766.6284178621,14165685.928452807,0.0,0.0
8802668.682872111,10705550.94296455,8330566.4000204699,68153107.547685102,81430406.688163072,69309609.791311324
118929218.4670749,117259564.5825391,112487300.70745891,1582044143.6837161,2033954824.8562496,1863306677.0337121
29570.070141580563,1344799.8012299924,2082573.4538920519,11726023.093559496,7982468.7361865863,4976926.4670963874
17948720.513385888,16830473.974162709,14910503.052709876,48065340.49699907,47975786.815484159,45706882.034097701
0.0,459067.44622282981,453805.33159292932,1492115.7779604346,3629460.4033270823,792477.42269236839
1301030.7553162992,1430617.3628359542,1344470.3895478277,14875867.806518491,8711071.0800689869,9155643.2540733293
0.0,0.0,0.0,0.0,0.0,0.0
1400148.5549354609,1513198.2982502466,1385205.2792699235,3568526.8098619496,2151101.8613435538,2635319.8549194001
1153993.1121188845,1745262.5717604714,1254998.0318041497,386339.67623803474,255662.82227500572,0.0
4660657.7024104968,4735988.3622536901,4011713.8215570739,581064.84303394146,0,0.0
3696231.6039317399,4295334.3095899327,3540027.3389605628,0.0,0,0.0
11052119.625592204,11596945.657356637,11337994.905052746,289420.39432088903,0,98430.805435133036
5178640.2969372291,5553693.083341199,4686546.1255466864,0,0,0.0
19605523.873210948,19764225.169341359,18928549.327904135,0,0,0
5907547.6607633652,6208839.4471133891,6369823.0605492592,0,0,0
20875112.0313504,21635605.119015738,21095448.476066042,0,0,72995.983636361008
3019532.4810195626,3687965.2234790721,3248953.487980539,200745.90652277126,0,7341.0706240864974
13291517.398751352,13048427.074708721,13046206.247719927,0,0,0
721989.56542572111,1077388.4151321312,1319284.0141470202,0,0,0
